Year;Total;C00_C97;I00_I99;J00_J99;K00_K92;A_B_D_HL_R;V01_Y89;;
1970;98.819;19.373;46.692;8.176;5.972;10.896;7.710;; 
1971;97.334;19.264;47.164;6.119;5.981;10.790;8.016;; 
1972;95.323;19.133;46.860;5.056;5.774;10.447;8.053;;
1973;92.768;19.199;45.057;5.474;5.715;9.616;7.707;;
1974;94.324;19.489;46.563;5.272;6.018;9.340;7.642;;
1975;96.041;19.008;47.931;6.741;5.883;9.007;7.471;;
1976;95.140;19.184;48.593;6.158;5.490;8.606;7.109;;
1977;92.402;19.035;47.373;4.658;5.736;8.448;7.152;;
1978;94.617;18.945;49.408;5.352;5.431;8.259;7.222;;
1979;92.012;18.893;47.478;4.495;5.391;8.536;7.219;;
1980;92.442;19.284;49.014;4.692;5.195;7.367;6.890;;
1981;92.693;19.163;49.007;4.997;5.025;7.698;6.803;;
1982;91.339;19.049;48.317;4.690;4.861;7.451;6.971;;
1983;93.041;18.826;50.067;5.081;4.874;7.126;7.067;;
1984;88.466;19.194;46.909;4.290;4.692;6.683;6.698;;
1985;89.578;18.837;47.908;4.911;4.539;6.933;6.450;;
1986;87.071;18.696;46.747;4.363;4.318;6.760;6.187;;
1987;84.907;19.083;44.851;4.118;4.167;6.553;6.135;;
1988;83.263;18.991;44.200;3.702;3.968;6.428;5.974;;
1989;83.407;18.988;43.700;3.951;4.188;6.738;5.842;;
1990;82.952;19.330;42.629;4.198;4.071;7.148;5.576;;
1991;83.428;19.317;44.003;3.908;4.132;6.667;5.401;;
1992;83.162;19.399;43.781;3.926;4.212;6.750;5.094;;
1993;82.517;19.521;43.513;3.852;4.069;6.497;5.065;;
1994;80.684;19.046;42.654;3.469;3.972;6.365;5.178;;
1995;81.171;19.154;43.447;3.422;3.832;6.420;4.896;;
1996;80.790;18.819;43.751;3.519;3.727;6.223;4.751;;
1997;79.432;18.845;42.991;3.555;3.495;6.118;4.428;;
1998;78.339;18.656;42.544;3.552;3.478;5.899;4.210;;
1999;78.200;18.710;42.111;4.041;3.251;5.728;4.359;;
2000;76.780;18.749;40.111;4.087;3.464;5.970;4.399;;
2001;74.767;18.487;38.385;3.914;3.349;6.405;4.227;;
2002;76.131;18.623;36.906;4.090;3.588;8.606;4.318;;
2003;77.209;19.232;34.914;5.111;3.603;10.088;4.261;;
2004;74.292;19.246;32.486;4.490;3.336;10.567;4.167;;
2005;75.189;19.124;32.636;4.670;3.354;10.965;4.440;;
2006;74.295;19.057;32.485;4.401;3.102;11.039;4.211;;
2007;74.625;18.967;32.863;4.552;3.295;10.731;4.217;;
2008;75.083;19.780;32.294;4.130;3.043;11.619;4.217;;
2009;77.381;19.642;33.221;4.221;3.170;12.834;4.293;;
2010;77.199;19.757;33.196;4.216;3.111;12.719;4.200;;
2011;76.479;19.992;32.374;4.055;2.982;12.863;4.213;;
2012;79.436;20.269;33.931;3.963;3.001;13.830;4.442;;
2013;79.526;20.097;34.101;3.950;2.996;14.079;4.303;;
2014;78.252;20.502;33.136;3.734;2.741;13.875;4.264;;
2015;83.073;20.349;35.537;4.464;2.855;15.343;4.525;;
2016;80.669;20.182;33.248;4.335;2.856;15.835;4.213;;
2017;83.270;20.261;33.125;5.307;2.891;17.313;4.373;;
2018;83.975;20.574;32.684;5.546;2.799;17.880;4.492;;
